Year,Month,Day,pmeZip,pmeLatitude,pmeLongitude,Zipcode_4digits
2017,1,1,2565CP,52.0768602,4.2607498,2565
2017,1,1,2574HC,52.0673801,4.2771779,2574
2017,1,1,2492VT,52.0735557,4.4047482,2492
2017,1,1,2548PC,52.0300043,4.2963787,2548
2017,1,1,2544DW,52.0495713,4.2515080,2544
2017,1,1,2516JJ,52.0658977,4.3318750,2516
2017,1,1,2548JB,52.0297550,4.2849723,2548
2017,1,1,2562JX,52.0719143,4.2785387,2562
2017,1,1,2533CN,52.0560835,4.3005550,2533
2017,1,1,2545CH,52.0611268,4.2616075,2545
2017,1,1,2565DE,52.0792626,4.2629460,2565
2017,1,1,2498DP,52.0352628,4.3875161,2498
2017,1,1,2498DM,52.0349574,4.3862934,2498
2017,1,1,2586CK,52.1129813,4.2820897,2586
2017,1,1,2523GG,52.0562239,4.3168682,2523
2017,1,1,2525KH,52.0581356,4.3057256,2525
2017,1,1,2521SV,52.0647810,4.3237952,2521
2017,1,1,2594AC,52.0825420,4.3239867,2594
2017,1,1,2554BT,52.0653318,4.2236962,2554
2017,1,1,2595CT,52.0842400,4.3469033,2595
2017,1,1,2542NC,52.0332169,4.2586122,2542
2017,1,1,2561TD,52.0753119,4.2766164,2561
2017,1,1,2586JK,52.1093028,4.2751468,2586
2017,1,1,2512BH,52.0744555,4.3131936,2512
2017,1,1,2531PT,52.0507739,4.3067199,2531
2017,1,1,2572NC,52.0618860,4.2962188,2572
2017,1,1,2572NC,52.0618860,4.2962188,2572
2017,1,1,2512BH,52.0744555,4.3131936,2512
2017,1,1,2572NC,52.0618860,4.2962188,2572
2017,1,1,2574GC,52.0641217,4.2801093,2574
2017,1,1,2545EJ,52.0549266,4.2691464,2545
2017,1,1,2586BT,52.1133300,4.2830412,2586
2017,1,1,2545AN,52.0466334,4.2690287,2545
2017,1,1,2545AN,52.0466334,4.2690287,2545
2017,1,1,2595AH,52.0779847,4.3337224,2595
2017,1,1,2525KH,52.0581356,4.3057256,2525
2017,1,1,2583EJ,52.0936921,4.2678707,2583
2017,1,1,2574JX,52.0653691,4.2736255,2574
2017,1,1,2545CH,52.0575900,4.2655300,2545
2017,1,1,2566ZZ,52.0839664,4.2683379,2566
2017,1,1,2526DB,52.0684167,4.3133677,2526
2017,1,1,2513AM,52.0767480,4.3065486,2513
2017,1,1,2513BX,52.0793946,4.3037859,2513
2017,1,1,2511GS,52.0784586,4.3208507,2511
2017,1,1,2583NW,52.0883308,4.2561562,2583
2017,1,1,2531BC,52.0571744,4.2950750,2531
2017,1,1,2522WE,52.0610080,4.3210703,2522
2017,1,1,2545CH,52.0611268,4.2616075,2545
2017,1,1,2555XX,52.0645823,4.2481887,2555
2017,1,1,2511CK,52.0787310,4.3158045,2511
2017,1,1,2513BN,52.0780729,4.3059884,2513
2017,1,1,2564BZ,52.0648452,4.2507703,2564
2017,1,1,\N,52.0698576,4.2911114,\N
2017,1,1,2525XA,52.0647155,4.3096647,2525
2017,1,1,2526JE,52.0690609,4.3032299,2526
2017,1,1,2592AZ,52.0896063,4.3498502,2592
2017,1,1,2526JE,52.0703787,4.3068911,2526
2017,1,1,2564BM,52.0645291,4.2543515,2564
2017,1,1,2513AV,52.0792735,4.3082782,2513
2017,1,1,2515GM,52.0663024,4.3141035,2515
2017,1,1,2513RW,52.0786306,4.2946559,2513
2017,1,1,\N,51.7515066,4.6273540,\N
2017,1,1,2531SN,52.0558812,4.3069028,2531
2017,1,1,2515GM,52.0663024,4.3141035,2515
2017,1,1,2572XK,52.0676585,4.2915520,2572
2017,1,1,2566CZ,52.0752611,4.2393475,2566
2017,1,1,2512DV,52.0727256,4.3006517,2512
2017,1,1,2597AX,52.1024090,4.3162300,2597
2017,1,1,2591BE,52.0928753,4.3628791,2591
2017,1,1,2518GV,52.0811460,4.2949274,2518
2017,1,1,2541PW,52.0442973,4.2800826,2541
2017,1,1,2513GR,52.0820445,4.3005218,2513
2017,1,1,\N,52.0095070,4.3605150,\N
2017,1,1,2592VE,52.0911264,4.3487748,2592
2017,1,1,2512JL,52.0711259,4.2961493,2512
2017,1,1,2524EC,52.0540797,4.3212936,2524
2017,1,1,2512SV,52.0720301,4.2947853,2512
2017,1,1,2574BR,52.0627672,4.2741423,2574
2017,1,1,2512VA,52.0737920,4.2998700,2512
2017,1,1,2516VS,52.0642453,4.3362188,2516
2017,1,1,2584HA,52.1051879,4.2801512,2584
2017,1,1,2564VD,52.0719050,4.2614435,2564
2017,1,1,2583VZ,52.0991641,4.2733374,2583
2017,1,1,2547JG,52.0635180,4.2631100,2547
2017,1,1,2597AX,52.1024090,4.3162300,2597
2017,1,1,2515EZ,52.0662570,4.3140905,2515
2017,1,1,2586HX,52.1137184,4.2825405,2586
2017,1,1,2586HX,52.1137184,4.2825405,2586
2017,1,1,2512VA,52.0737920,4.2998700,2512
2017,1,1,2583SC,52.0946080,4.2602800,2583
2017,1,1,2597AX,52.1024090,4.3162300,2597
2017,1,1,2512VA,52.0740415,4.2992255,2512
