neigb_cijf,Gross population density,Average age of population,Grey pressure (65+ as % of 15 to 64-year-olds),Green pressure (-14 as % of 15 to 64-year-olds),% Dutch natives,% private households with a low income,% private households with an average income,% private households with a high income,"Number of establishments, transportation and storage",Number of medical facilities,gross non-housing density (BAG),non-housing density (rateable value (OZB)),gross housing density (BAG),All offences,% companies,Bouw,Number of residents per 1-
01 Oud Scheveningen,111.4,42.6,27.2,19.1,78.2,52.4,35.8,11.8,5.0,3.0,7.4,1.7,65.5,137.0,6.7,103.0,2859.0
02 Vissershaven,45.3,43.6,34.8,24.8,73.8,50.3,32.1,17.6,18.0,5.0,7.2,1.6,28.2,382.0,20.2,151.0,3355.0
03 Scheveningen Badplaats,107.3,41.0,24.2,20.9,67.1,41.2,37.3,21.6,9.0,10.0,6.7,1.7,64.6,496.0,5.0,120.0,5419.0
04 Visserijbuurt,140.6,43.3,35.8,23.3,66.4,50.9,31.9,17.3,1.0,5.0,10.0,1.8,77.9,183.0,8.4,86.0,3817.0
05 v Stolkpark/Schev Bosjes,7.5,48.5,61.8,29.0,59.6,30.1,27.0,42.9,0.0,2.0,0.6,1.7,4.3,75.0,5.1,5.0,809.0
06 Waldeck-Zuid,101.4,49.4,61.4,22.6,66.7,56.1,35.7,8.2,3.0,6.0,6.4,1.7,59.6,87.0,0.0,26.0,2033.0
07 Statenkwartier,94.1,40.2,26.3,28.4,55.2,28.2,31.1,40.7,7.0,21.0,5.5,2.0,47.0,415.0,4.9,448.0,9526.0
08 Geuzenkwartier,139.3,43.3,35.4,24.7,73.3,44.3,37.2,18.6,6.0,4.0,6.1,1.9,75.0,197.0,4.5,76.0,4395.0
09 Vogelwijk,19.6,41.6,34.0,37.7,73.3,11.9,30.0,58.1,3.0,9.0,0.4,2.5,7.9,253.0,4.2,44.0,5233.0
10 Rond de Energiecentrale,115.4,37.3,14.5,18.9,41.8,58.7,31.5,9.8,13.0,7.0,7.8,1.9,61.0,375.0,26.7,163.0,5747.0
11 Kortenbos,118.3,38.7,15.9,16.0,47.6,57.5,29.9,12.6,9.0,17.0,13.4,1.6,75.1,1058.0,4.3,98.0,7134.0
12 Voorhout,38.3,39.7,18.7,7.8,48.3,45.4,30.7,23.9,3.0,7.0,15.6,1.3,28.5,822.0,2.3,886.0,2266.0
13 Uilebomen,105.9,38.8,15.4,15.1,39.5,47.4,34.1,18.4,9.0,7.0,11.3,1.7,63.9,980.0,5.2,24.0,3039.0
14 Zuidwal,134.8,37.7,13.1,11.7,43.3,63.8,27.2,9.0,8.0,13.0,20.3,1.6,85.8,2695.0,11.8,302.0,6776.0
15 Schildersbuurt-West,218.3,34.3,12.3,28.6,7.7,65.4,27.6,7.0,36.0,9.0,6.0,2.5,86.7,1057.0,12.6,305.0,14038.0
16 Schildersbuurt-Noord,214.2,35.5,14.8,30.2,11.2,68.7,25.6,5.7,22.0,18.0,5.0,2.4,91.1,895.0,6.0,131.0,9919.0
17 Schildersbuurt-Oost,207.3,34.5,13.1,30.7,6.3,63.6,28.8,7.6,16.0,3.0,4.5,2.7,75.5,546.0,26.0,97.0,7225.0
18 Huygenspark,169.4,31.7,8.2,14.7,25.4,69.6,23.0,7.4,12.0,4.0,8.5,1.9,90.1,997.0,8.2,73.0,7722.0
19 Laakhaven-Oost,139.1,33.8,10.4,18.8,19.5,62.6,29.7,7.7,9.0,2.0,4.5,1.9,74.5,447.0,11.0,467.0,4061.0
20 Moerwijk-Oost,85.8,36.3,15.9,28.0,24.9,76.2,20.7,3.1,14.0,8.0,3.4,1.8,46.8,237.0,7.6,106.0,3128.0
21 Groente- en Fruitmarkt,115.5,32.8,8.5,29.3,11.3,52.6,36.5,10.9,31.0,5.0,5.3,3.1,37.7,354.0,35.6,407.0,5159.0
22 Laakhaven-West,91.2,34.6,11.8,24.5,17.3,67.6,27.0,5.4,17.0,4.0,6.7,1.9,48.2,614.0,29.8,306.0,5121.0
